White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
1726970,5952298,14634,1130608,1434957,179497,190277,211264,117382,97276,49029,40126,111634,190095,178132,192721,76536,114209,54421,1541192,290002,172012,Mississippi,379610,361557,289064,143319,1815715,31329,2019
5022939,12274856,25516,703058,3008169,365451,380818,391770,234656,163579,78386,86029,230577,421412,402310,420294,171228,245621,121661,3129259,835981,500655,Missouri,756709,730645,609250,327032,3428097,137368,2019
940423,2137556,67603,7787,537170,58850,61823,67783,38068,31945,12110,15350,40899,68563,64556,72614,33257,45401,20960,531608,180400,78253,Montana,132472,117178,126488,60461,583601,9151,2019
1666763,3868816,18964,94659,966650,129551,131863,136832,76850,54824,27395,26767,78556,130734,127197,119981,49868,72544,41388,967758,302378,147183,Nebraska,243052,216099,179065,91842,1009751,49590,2019
1989116,6160312,42426,296184,1544779,184168,185324,206681,114564,70102,38078,39455,105318,224382,224673,197914,75024,109829,42792,1535377,371432,194026,Nevada,410321,396104,305843,149584,1823961,283746,2019
1258576,2719422,1727,22000,672960,64200,67001,76710,48109,39277,19033,15481,50150,85938,84792,110803,43703,60253,28867,686751,239043,144625,New Hampshire,158985,182129,152050,72230,720023,36520,2019
5964295,17764380,18440,1203843,4342591,511925,524592,563204,338303,216903,106886,110166,318982,576949,571509,620252,250590,352774,194010,4539599,1684949,1007395,New Jersey,1144104,1199976,837002,444063,4251822,859815,2019
1549953,4193658,199341,48337,1036708,116978,130751,146207,79914,59272,27339,27799,82581,143017,135610,132366,54769,85574,40498,1060121,234456,175260,New Mexico,261847,235075,224011,113221,1213263,37473,2019
12293680,38907122,73560,3084304,9450810,1119825,1052163,1164223,685885,501383,255645,248177,761526,1459455,1405946,1319671,533299,748622,439632,10002751,3192197,2298701,New York,2430106,2471667,1863892,992444,9940567,1688496,2019
7144510,20976168,126708,2253481,5094327,596583,615543,686687,395159,317907,145397,140393,403338,715026,686637,700481,277664,380473,184294,5393757,1571046,858653,North Carolina,1312661,1363200,1047490,519151,5764413,316783,2019
