White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
7066745,20546838,119909,2206579,4998538,601181,629442,665657,404910,290054,146195,137489,407306,701761,650393,684650,265000,364066,178558,5274881,1498406,789723,North Carolina,1305272,1390045,987947,463493,5684100,304057,2017
654116,1510786,41706,23294,388300,52802,49455,46420,24459,22640,13571,13016,37126,59646,54733,48512,20169,28453,16780,367093,119677,44871,North Dakota,89406,82316,61449,34440,417709,13239,2017
9480074,23317218,23720,1441353,5709254,695130,702748,744908,459211,317289,156772,157784,442882,796348,729053,826621,334922,452638,248880,5949355,1483259,855713,Ohio,1383026,1519661,1118412,572324,6717640,261734,2017
2837492,7861728,302400,286716,1948986,262561,264705,274269,159948,113472,59512,54588,155395,275231,263230,255094,97506,139668,68410,1981878,462936,225564,Oklahoma,486405,468148,351495,181227,2280881,93867,2017
3497242,8285552,47692,77750,2054016,232253,242751,250856,147914,104561,56225,53895,153126,290003,288531,267444,113447,165578,79045,2088760,639234,370663,Oregon,549489,517835,432538,197285,2259105,197803,2017
10339488,25611074,23523,1437081,6272521,705018,709879,779203,470871,352518,168824,167195,491187,867486,814236,924152,373571,515791,330286,6533016,1839015,1131600,Pennsylvania,1489221,1699842,1278851,667406,7169951,448013,2017
866258,2119278,5580,66660,513198,55019,55184,59103,37666,37247,18081,16736,43634,76079,69677,75391,31813,41593,23359,546441,161053,97825,Rhode Island,123187,142657,101085,52128,593789,39186,2017
3380219,10048738,15007,1357385,2436902,289539,307672,317060,187449,149355,72442,70114,186887,341196,307283,331877,138967,194794,83381,2587467,646869,360487,South Carolina,619763,644154,537642,244794,2915293,82570,2017
736581,1739332,76078,16987,438429,60460,60363,58561,33844,23318,11101,12347,35113,58022,58039,60022,22086,35012,19480,431237,119115,52327,South Dakota,99981,99511,81645,40761,484996,11719,2017
5221591,13431968,14637,1122675,3272135,405128,406018,437851,259255,182652,83909,94093,258625,474567,430791,449469,177311,252239,113033,3443849,844833,468381,Tennessee,841848,891828,642650,314717,3894518,125495,2017
20929140,56609192,135098,3423231,14062701,2020164,2014510,2105315,1225174,804719,424636,399622,1161110,2085081,2037658,1673649,638277,876761,374415,14241895,3733547,1878234,Texas,3833039,3539389,2090348,1000729,15327652,1384153,2017
2657013,6203666,32694,37669,1563433,253089,258779,262032,151194,93163,47118,53259,156164,236140,217298,150602,62193,84431,37128,1538400,439300,216438,Utah,424179,316997,201867,96200,1521001,102238,2017
587265,1247314,2355,8260,307810,30096,31828,34982,20849,19168,10588,10395,26484,37979,35885,48173,21175,26893,13295,315847,106309,69863,Vermont,69237,82775,70961,32894,329730,11436,2017
5714699,16940040,26792,1627641,4163754,501972,513476,534952,317681,233235,124630,114392,350461,583238,581928,568971,223726,300691,146347,4306266,1372371,974902,Virginia,1107730,1141333,762279,362978,4254666,550001,2017
5582361,14811486,93038,271584,3698615,455015,465172,456754,269792,176147,100483,93465,286947,564582,540761,484105,190432,280822,127629,3707128,1200591,683936,Washington,977367,946140,683938,306192,3874483,680689,2017
1684321,3631714,2438,71991,897166,97887,104233,107906,63377,51569,22804,23517,65214,108237,100360,124846,58897,78066,38332,918691,166457,102992,West Virginia,220633,237739,207584,104656,1173005,14077,2017
4942176,11590966,49261,370335,2880454,333985,347700,374137,223539,155976,81634,84951,235330,360889,366225,429312,157590,227930,126413,2915029,838336,425358,Wisconsin,698926,761175,553726,276045,3252428,163707,2017
528414,1158630,13944,5766,295779,37910,40293,38498,21361,17181,6886,7942,21544,39254,40568,43939,15787,22132,10495,283536,70228,40371,Wyoming,70601,64982,55232,24710,330654,4840,2017
2210728,6674354,7934,403659,1591997,146699,172834,205425,131836,99797,49766,51782,135363,209110,187547,217142,85448,127226,74728,1745180,455829,174916,Puerto Rico,427844,430603,368874,215153,2049638,5424,2017
