year,state,candidate,party,outcome
1988,Nebraska,Ernie Chambers,new alliance,0
1988,Nebraska,Dave Karnes,republican,0
1988,Nevada,Chic Hecht,republican,0
1988,Nevada,Richard H. Bryan,democrat,1
1988,Nevada,James Frye,libertarian,0
1988,New Jersey,Joseph F. Job,independent,0
1988,New Jersey,Frank R. Lautenberg,democrat,1
1988,New Jersey,Thomas A. Fiske,socialist workers,0
1988,New Jersey,Jerry Zeldin,libertarian,0
1988,New Jersey,Peter M. Dawkins,republican,0
1988,New Mexico,Jeff Bingaman,democrat,1
1988,New Mexico,Bill Valentine,republican,0
1988,New York,William P. McMillen,libertarian,0
1988,New York,Lydia Bayoneta,workers world,0
1988,New York,"James E. Harris, Jr.",socialist workers,0
1988,New York,Charlene Mitchell,independent progressive line,0
1988,New York,Adelle R. Nathanson,right to life,0
1988,North Dakota,Quentin N. Burdick,democrat,1
1988,North Dakota,Earl Strinden,republican,0
1988,North Dakota,Kenneth C. Gardner,libertarian,0
1988,Ohio,Howard M. Metzenbaum,democrat,1
1988,Ohio,George V Voinovich,republican,0
1988,Pennsylvania,Joe Vignola,democrat,0
1988,Pennsylvania,Sam Blancato,new alliance,0
1988,Pennsylvania,John Heinz,republican,1
1988,Pennsylvania,Darcy Richardson,consumer,0
1988,Pennsylvania,Henry Haller III,libertarian,0
1988,Pennsylvania,"Samuel Cross, Jr.",populist,0
1988,Rhode Island,Richard A. Licht,democrat,0
1988,Rhode Island,John H. Chaffee,republican,1
1988,Tennessee,Jim Sasser,democrat,1
1988,Tennessee,Bill Andersen,republican,0
1988,Tennessee,Khalil-Ullah Al-Muhaymin,independent,0
1988,Texas,Lloyd Bentsen,democrat,1
1988,Texas,Beau Boulter,republican,0
1988,Texas,Jeff Daiell,libertarian,0
1988,Utah,Brian H. Moss,democrat,0
1988,Utah,Robert J. Smith,american,0
1988,Utah,Orrin G. Hatch,republican,1
1988,Utah,William M. Arth,socialist workers,0
1988,Vermont,Jerry Levy,liberty union,0
1988,Vermont,King Milne,independent,0
1988,Vermont,James M. Jeffords,republican,1
1988,Vermont,Bill Gray,democrat,0
1988,Virginia,Charles S. Robb,democrat,1
1988,Virginia,Maurice A. Dawkins,republican,0
1988,Washington,Slade Gorton,republican,1
1988,Washington,Mike Lowry,democrat,0
1988,West Virginia,Robert C. Byrd,democrat,1
1988,West Virginia,M. Jay Wolfe,republican,0
1988,Wisconsin,George W. Zaehringer,independent,0
1988,Wisconsin,Arlyn F. Wollenburg,independent,0
1988,Wisconsin,Herbert H. Kohl,democrat,1
1988,Wisconsin,Susan Engeleiter,republican,0
1988,Wisconsin,Patricia Grogan,independent,0
1988,Wyoming,John P. Vinich,democrat,0
1988,Wyoming,Malcolm Wallop,republican,1
1990,Alabama,Howell Heflin,democrat,1
1990,Alabama,Bill Cabaniss,republican,0
1990,Alaska,Michael Beasley,democrat,0
1990,Alaska,Ted Stevens,republican,1
1990,Arkansas,David H. Pryor,democrat,1
1990,Colorado,Earl F. Dodge,prohibition,0
1990,Colorado,John Heckman,concerns of people,0
1990,Colorado,Hank Brown,republican,1
1990,Colorado,Josie Heath,democrat,0
1990,Delaware,Joseph R. Biden Jr.,democrat,1
1990,Delaware,M. Jane Brady,republican,0
1990,Delaware,Lee Rosenbaum,libertarian,0
1990,Georgia,Sam Nunn,democrat,1
1990,Hawaii,Ken Schoolland,libertarian,0
1990,Hawaii,Patricia F. Saiki,republican,0
1990,Hawaii,Daniel K. Akaka,democrat,1
1990,Idaho,Ron J. Twilegar,democrat,0
1990,Idaho,Larry E. Craig,republican,1
1990,Illinois,Paul Simon,democrat,1
1990,Illinois,Lynn Martin,republican,0
1990,Indiana,Baron P. Hill,democrat,0
1990,Indiana,Dan Coats,republican,1
1990,Iowa,Tom Harkin,democrat,1
1990,Iowa,Thomas J. Tauke,republican,0
1990,Kansas,Dick Williams,democrat,0
1990,Kansas,Nancy Landon Kassebaum,republican,1
1990,Kentucky,Mitch McConnell,republican,1
1990,Kentucky,G. Harvey Sloane,democrat,0
1990,Louisiana,J. Bennett Johnston,democrat,1
1990,Maine,William S. Cohen,republican,1
1990,Maine,Neil Rolde,democrat,0
1990,Massachusetts,John F. Kerry,democrat,1
1990,Massachusetts,Jim Rappaport,republican,0
1990,Michigan,Susan Farquhar,workers world,0
1990,Michigan,Carl Levin,democrat,1
1990,Michigan,Bill Schuette,republican,0
1990,Minnesota,Rudy Boschwitz,republican,0
1990,Minnesota,Paul David Wellstone,democrat,1
1990,Minnesota,Russell B. Bentley,grassroots,0
1990,Mississippi,Thad Cochran,republican,1
1990,Montana,Max Baucus,democrat,1
1990,Montana,Allen C. Kolstad,republican,0
1990,Montana,Westley F. Deitchler,libertarian,0
